project.repo,project.url,project.id,project.name,project.source,project.packageManager,project.targetFile,issue.url,issue.id,issue.title,issue.type,issue.package,issue.version,issue.severity,issue.originalSeverity,issue.uniqueSeveritiesList,issue.language,issue.packageManager,issue.semver,issue.publicationTime,issue.disclosureTime,issue.isUpgradable,issue.isPatchable,issue.isPinnable,issue.identifiers,issue.credit,issue.CVSSv3,issue.cvssScore,issue.patches,issue.exploitMaturity,issue.reachability,issue.priorityScore,issue.jiraIssueUrl,issue.isFixed,issue.introducedDate
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-ORGHIBERNATE-569100,SNYK-JAVA-ORGHIBERNATE-569100,Cross-site Scripting (XSS),vuln,org.hibernate:hibernate-validator,4.3.1.Final,medium,,['medium'],java,maven,"{'vulnerable': ['[,6.0.18.Final)', '[6.1.0.Alpha1,6.1.0.Final)']}",2020-01-09T14:55:12.000Z,2018-10-18T14:55:21.000Z,False,False,False,"{'CVE': ['CVE-2019-10219'], 'CWE': ['CWE-79']}",['Unknown'],CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N/E:U/RL:O/RC:R,6.5,[],no-known-exploit,No path found,336,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-C3P0-461018,SNYK-JAVA-C3P0-461018,Denial of Service (DoS),vuln,c3p0:c3p0,0.9.1.2,medium,,['medium'],java,maven,"{'vulnerable': ['[0,]']}",2019-04-22T22:18:26.000Z,2019-04-22T22:18:26.000Z,False,False,False,"{'CVE': ['CVE-2019-5427'], 'CWE': ['CWE-776'], 'GHSA': ['GHSA-84p2-vf58-xhxv']}",['Unknown'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H/RL:O,5.9,[],no-known-exploit,No path found,295,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-COMMONSIO-1277109,SNYK-JAVA-COMMONSIO-1277109,Directory Traversal,vuln,commons-io:commons-io,2.6,medium,,['medium'],java,maven,"{'vulnerable': ['[0, 2.7)']}",2021-04-27T14:26:12.426Z,2021-04-26T16:04:00.000Z,False,False,False,"{'CVE': ['CVE-2021-29425'], 'CWE': ['CWE-20', 'CWE-22'], 'GHSA': ['GHSA-gwrp-pvrq-jmwv']}",['Lukas Euler'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,[],no-known-exploit,No path found,336,,False,2021-04-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-ORGHIBERNATE-568162,SNYK-JAVA-ORGHIBERNATE-568162,Improper Input Validation,vuln,org.hibernate:hibernate-validator,4.3.1.Final,medium,,['medium'],java,maven,"{'vulnerable': ['[,6.0.19.Final)', '[6.1.0,6.1.3.Final)']}",2020-05-05T16:32:46.000Z,2020-05-05T00:00:00.000Z,False,False,False,"{'CVE': ['CVE-2020-10693'], 'CWE': ['CWE-20']}",['Alvaro Muñoz'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,[],no-known-exploit,No path found,265,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-ORGHIBERNATE-30098,SNYK-JAVA-ORGHIBERNATE-30098,JSM bypass via ReflectionHelper,vuln,org.hibernate:hibernate-validator,4.3.1.Final,medium,,['medium'],java,maven,"{'vulnerable': ['[4.1.0.Beta1, 4.3.2.Final)', '[5.0.0.Final,5.1.2.Final)']}",2014-07-17T16:51:53.000Z,2014-07-17T16:51:53.000Z,False,False,False,"{'CVE': ['CVE-2014-3558'], 'CWE': ['CWE-592']}",['Unknown'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,[],no-known-exploit,No path found,265,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-ORGHIBERNATE-1041788,SNYK-JAVA-ORGHIBERNATE-1041788,SQL Injection,vuln,org.hibernate:hibernate-core,4.3.7.Final,high,,['high'],java,maven,"{'vulnerable': ['[,5.4.24.Final)']}",2020-11-19T16:57:14.572Z,2020-11-19T16:51:45.000Z,False,False,False,"{'CVE': ['CVE-2020-25638'], 'CWE': ['CWE-89']}",['Unknown'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N/E:U/RL:O/RC:U,8.2,[],no-known-exploit,No path found,421,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-ORGHIBERNATE-584563,SNYK-JAVA-ORGHIBERNATE-584563,SQL Injection,vuln,org.hibernate:hibernate-core,4.3.7.Final,high,,['high'],java,maven,"{'vulnerable': ['[,5.3.18.Final)', '[5.4.0.Final, 5.4.18.Final)']}",2020-07-15T16:40:12.000Z,2020-06-18T13:46:30.000Z,False,False,False,"{'CVE': ['CVE-2019-14900'], 'CWE': ['CWE-89']}",['Gail Badner'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,[],no-known-exploit,No path found,405,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-C3P0-461017,SNYK-JAVA-C3P0-461017,XML External Entity (XXE) Injection,vuln,c3p0:c3p0,0.9.1.2,critical,,['critical'],java,maven,"{'vulnerable': ['[0,]']}",2019-07-21T14:22:18.000Z,2018-12-24T13:29:00.000Z,False,False,False,"{'CVE': ['CVE-2018-20433'], 'CWE': ['CWE-611']}",['Unknown'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,[],no-known-exploit,No path found,490,,False,2021-01-27
mrzarquon/java-goof,https://snyk.io/org/angrydome/project/2f9774b0-ae8e-4b9c-905d-2bf50ab22055,2f9774b0-ae8e-4b9c-905d-2bf50ab22055,mrzarquon/java-goof,github,maven,todolist-web-struts/pom.xml,https://snyk.io/vuln/SNYK-JAVA-JAVAXSERVLET-30449,SNYK-JAVA-JAVAXSERVLET-30449,XML External Entity (XXE) Injection,vuln,javax.servlet:jstl,1.2,high,,['high'],java,maven,"{'vulnerable': ['[0,]']}",2015-02-27T16:51:55.000Z,2015-02-27T16:13:27.000Z,False,False,False,"{'CVE': ['CVE-2015-0254'], 'CWE': ['CWE-94'], 'GHSA': ['GHSA-6x4w-8w53-xrvv']}",['David Jorm'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,7.3,[],no-known-exploit,No path found,365,,False,2021-01-27
